,BootCamp,Reviews
0,General Assembly,645.0
1,Thinkful,275.0
2,Product School,195.0
3,BrainStation,157.0
4,RMOTR,149.0
5,Tech Elevator,104.0
6,Ubiqum Code Academy,103.0
7,Xccelerate,89.0
8,Galvanize,85.0
9,Noble Desktop,81.0
10,Neoland,74.0
11,Coding Temple,65.0
12,Data Science Dojo,58.0
13,Codeworks,53.0
14,Dev League,48.0
15,V School,42.0
16,The Dev Masters,32.0
17,Byte Academy,32.0
18,CodingNomads,28.0
19,Level,27.0
20,Alchemy Code Lab,22.0
21,Green Fox Academy,22.0
22,SPICED Academy,22.0
23,Israel Tech Challenge ...,19.0
24,Codecademy,17.0
25,Science to Data ...,15.0
26,Promotable,12.0
27,VIVADATA,11.0
28,Make School,11.0
29,ASI Data Science,4.0
30,Skillspire,3.0
31,Nashville Software ...,3.0
32,UC Berkeley Data ...,2.0
33,EDIT Disruptive ...,1.0
34,UCF Coding Bootcamp,1.0
35,AllWomen,0.0
36,iKompass,0.0
37,PrwaTech,0.0
38,KeepCoding,0.0
39,XTOL Corp,0.0
40,Data Application Lab,0.0
41,CODEcamp Charleston,0.0
42,Code Union,0.0
